"The Economic Burden of Racial, Ethnic, and Educational Health Inequities in the US.","Health inequities exist for racial and ethnic minorities and persons with lower educational attainment due to differential exposure to economic, social, structural, and environmental health risks and limited access to health care.",JAMA,"[""health"", ""inequity"", ""exist"", ""racial"", ""ethnic"", ""minority"", ""person"", ""low"", ""educational"", ""attainment"", ""due"", ""differential"", ""exposure"", ""economic"", ""social"", ""structural"", ""environmental"", ""health"", ""risk"", ""limited"", ""access"", ""health"", ""care""]",None,None,None,None
"Racial and Ethnic Disparities in Cancer Survival: The Contribution of Tumor, Sociodemographic, Institutional, and Neighborhood Characteristics.","Purpose Racial/ethnic disparities in cancer survival in the United States are well documented, but the underlying causes are not well understood. We quantified the contribution of tumor, treatment, hospital, sociodemographic, and neighborhood factors to racial/ethnic survival disparities in California. Materials and Methods California Cancer Registry data were used to estimate population-based cancer-specific survival for patients diagnosed with breast, prostate, colorectal, or lung cancer between 2000 and 2013 for each racial/ethnic group (non-Hispanic black, Hispanic, Asian American and Pacific Islander, and separately each for Chinese, Japanese, and Filipino) compared with non-Hispanic whites. The percentage contribution of factors to overall racial/ethnic survival disparities was estimated from a sequence of multivariable Cox proportional hazards models. Results In baseline models, black patients had the lowest survival for all cancer sites, and Asian American and Pacific Islander patients had the highest, compared with whites. Mediation analyses suggested that stage at diagnosis had the greatest influence on overall racial/ethnic survival disparities accounting for 24% of disparities in breast cancer, 24% in prostate cancer, and 16% to 30% in colorectal cancer. Neighborhood socioeconomic status was an important factor in all cancers, but only for black and Hispanic patients. The influence of marital status on racial/ethnic disparities was stronger in men than in women. Adjustment for all covariables explained approximately half of the overall survival disparities in breast, prostate, and colorectal cancer, but it explained only 15% to 40% of disparities in lung cancer. Conclusion Overall reductions in racial/ethnic survival disparities were driven largely by reductions for black compared with white patients. Stage at diagnosis had the largest effect on racial/ethnic survival disparities, but earlier detection would not entirely eliminate them. The influences of neighborhood socioeconomic status and marital status suggest that social determinants, support mechanisms, and access to health care are important contributing factors.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"[""purpose"", ""racial"", ""ethnic"", ""disparity"", ""cancer"", ""survival"", ""united"", ""state"", ""well"", ""document"", ""underlie"", ""cause"", ""well"", ""understand"", ""quantify"", ""contribution"", ""tumor"", ""treatment"", ""hospital"", ""sociodemographic"", ""neighborhood"", ""factor"", ""racial"", ""ethnic"", ""survival"", ""disparity"", ""california"", ""material"", ""method"", ""california"", ""cancer"", ""registry"", ""datum"", ""use"", ""estimate"", ""population"", ""base"", ""cancer"", ""specific"", ""survival"", ""patient"", ""diagnose"", ""breast"", ""prostate"", ""colorectal"", ""lung"", ""cancer"", ""2000"", ""2013"", ""racial"", ""ethnic"", ""group"", ""non"", ""hispanic"", ""black"", ""hispanic"", ""asian"", ""american"", ""pacific"", ""islander"", ""separately"", ""chinese"", ""japanese"", ""filipino"", ""compare"", ""non"", ""hispanic"", ""white"", ""percentage"", ""contribution"", ""factor"", ""overall"", ""racial"", ""ethnic"", ""survival"", ""disparity"", ""estimate"", ""sequence"", ""multivariable"", ""cox"", ""proportional"", ""hazard"", ""model"", ""baseline"", ""model"", ""black"", ""patient"", ""low"", ""survival"", ""cancer"", ""site"", ""asian"", ""american"", ""pacific"", ""islander"", ""patient"", ""highest"", ""compare"", ""white"", ""mediation"", ""analysis"", ""suggest"", ""stage"", ""diagnosis"", ""great"", ""influence"", ""overall"", ""racial"", ""ethnic"", ""survival"", ""disparity"", ""account"", ""24"", ""disparity"", ""breast"", ""cancer"", ""24"", ""prostate"", ""cancer"", ""16"", ""30"", ""colorectal"", ""cancer"", ""neighborhood"", ""socioeconomic"", ""status"", ""important"", ""factor"", ""cancer"", ""black"", ""hispanic"", ""patient"", ""influence"", ""marital"", ""status"", ""racial"", ""ethnic"", ""disparity"", ""strong"", ""man"", ""woman"", ""adjustment"", ""covariable"", ""explain"", ""approximately"", ""half"", ""overall"", ""survival"", ""disparity"", ""breast"", ""prostate"", ""colorectal"", ""cancer"", ""explain"", ""15"", ""40"", ""disparity"", ""lung"", ""cancer"", ""conclusion"", ""overall"", ""reduction"", ""racial"", ""ethnic"", ""survival"", ""disparity"", ""drive"", ""largely"", ""reduction"", ""black"", ""compare"", ""white"", ""patient"", ""stage"", ""diagnosis"", ""large"", ""effect"", ""racial"", ""ethnic"", ""survival"", ""disparity"", ""early"", ""detection"", ""would"", ""entirely"", ""eliminate"", ""influence"", ""neighborhood"", ""socioeconomic"", ""status"", ""marital"", ""status"", ""suggest"", ""social"", ""determinant"", ""support"", ""mechanism"", ""access"", ""health"", ""care"", ""important"", ""contribute"", ""factor""]",None,None,socioeconomic status,"Asian, Hispanic"
Update on Prevalence of Periodontitis in Adults in the United States: NHANES 2009 to 2012.,"This report describes prevalence, severity, and extent of periodontitis in the US adult population using combined data from the 2009 to 2010 and 2011 to 2012 cycles of the National Health and Nutrition Examination Survey (NHANES).",Journal of periodontology,"[""report"", ""describe"", ""prevalence"", ""severity"", ""extent"", ""periodontitis"", ""we"", ""adult"", ""population"", ""use"", ""combined"", ""datum"", ""2009"", ""2010"", ""2011"", ""2012"", ""cycle"", ""national"", ""health"", ""nutrition"", ""examination"", ""survey"", ""nhane""]",None,None,None,None
Association of Socioeconomic Status With Life's Essential 8 Varies by Race and Ethnicity.,"Background The American Heart Association's Life's Essential 8 (LE8) are 8 risk factors for cardiovascular disease, with poor attainment across all racial, ethnic, and socioeconomic groups. Attainment is lowest among Americans of low socioeconomic status (SES). Evidence suggests the association of SES with LE8 may vary by race and ethnicity. Methods and Results The association of 4 SES categories (education, income-to-poverty line ratio, employment, insurance) with LE8 was computed in age-adjusted linear regression models, with an interaction term for race and ethnicity, using National Health and Nutrition Examination Survey data, years 2011 to 2018. The sample (n=13 529) had a median age of 48 years (51% female) with weighting to be representative of the US population. The magnitude of positive association of college education (relative to ≤high school) with LE8 was greater among non-Hispanic White Americans (NHWA) compared with non-Hispanic Black Americans, Hispanic Americans, and non-Hispanic Asian Americans (all interactions <i>P</i><0.001). NHWA had a greater magnitude of positive association of income-to-poverty line ratio with LE8, compared with non-Hispanic Black Americans, Hispanic Americans, and non-Hispanic Asian Americans (all interactions <i>P</i><0.001). NHWA with Medicaid compared with private insurance had a greater magnitude of negative association with LE8 compared with non-Hispanic Black Americans, non-Hispanic Asian Americans, or Hispanic Americans (all interactions <i>P</i><0.01). NHWA unemployed due to disability or health condition (compared with employed) had a greater magnitude of negative association with LE8 than non-Hispanic Black Americans, non-Hispanic Asian Americans, or Hispanic Americans (all interactions <i>P</i><0.05). Conclusions The magnitude of association of SES with LE8 is greatest among NHWA. More research is needed on SES's role in LE8 attainment in minority group populations.",Journal of the American Heart Association,"[""background"", ""american"", ""heart"", ""association"", ""life"", ""essential"", ""8"", ""le8"", ""8"", ""risk"", ""factor"", ""cardiovascular"", ""disease"", ""poor"", ""attainment"", ""across"", ""racial"", ""ethnic"", ""socioeconomic"", ""group"", ""attainment"", ""low"", ""among"", ""american"", ""low"", ""socioeconomic"", ""status"", ""ses"", ""evidence"", ""suggest"", ""association"", ""se"", ""le8"", ""may"", ""vary"", ""race"", ""ethnicity"", ""method"", ""association"", ""4"", ""ses"", ""category"", ""education"", ""income"", ""poverty"", ""line"", ""ratio"", ""employment"", ""insurance"", ""le8"", ""compute"", ""age"", ""adjusted"", ""linear"", ""regression"", ""model"", ""interaction"", ""term"", ""race"", ""ethnicity"", ""use"", ""national"", ""health"", ""nutrition"", ""examination"", ""survey"", ""data"", ""year"", ""2011"", ""2018"", ""sample"", ""n"", ""13"", ""529"", ""median"", ""age"", ""48"", ""year"", ""51"", ""female"", ""weighting"", ""representative"", ""we"", ""population"", ""magnitude"", ""positive"", ""association"", ""college"", ""education"", ""relative"", ""high"", ""school"", ""le8"", ""great"", ""among"", ""non"", ""hispanic"", ""white"", ""american"", ""nhwa"", ""compare"", ""non"", ""hispanic"", ""black"", ""american"", ""hispanic"", ""american"", ""non"", ""hispanic"", ""asian"", ""american"", ""interaction"", ""p"", ""0"", ""001"", ""nhwa"", ""great"", ""magnitude"", ""positive"", ""association"", ""income"", ""poverty"", ""line"", ""ratio"", ""le8"", ""compare"", ""non"", ""hispanic"", ""black"", ""american"", ""hispanic"", ""american"", ""non"", ""hispanic"", ""asian"", ""american"", ""interaction"", ""p"", ""0"", ""001"", ""nhwa"", ""medicaid"", ""compare"", ""private"", ""insurance"", ""great"", ""magnitude"", ""negative"", ""association"", ""le8"", ""compare"", ""non"", ""hispanic"", ""black"", ""american"", ""non"", ""hispanic"", ""asian"", ""american"", ""hispanic"", ""american"", ""interaction"", ""p"", ""0"", ""01"", ""nhwa"", ""unemployed"", ""due"", ""disability"", ""health"", ""condition"", ""compare"", ""employ"", ""great"", ""magnitude"", ""negative"", ""association"", ""le8"", ""non"", ""hispanic"", ""black"", ""american"", ""non"", ""hispanic"", ""asian"", ""american"", ""hispanic"", ""american"", ""interaction"", ""p"", ""0"", ""05"", ""conclusion"", ""magnitude"", ""association"", ""ses"", ""le8"", ""great"", ""among"", ""nhwa"", ""research"", ""need"", ""ses"", ""role"", ""le8"", ""attainment"", ""minority"", ""group"", ""population""]",None,None,"socioeconomic status, poverty","Black, Asian, Hispanic"
Chronic Hypertension in Pregnancy and Racial-Ethnic Disparities in Complications.,"To evaluate whether there are individual- and population-level associations between chronic hypertension and pregnancy complications, and to assess differences across seven racial-ethnic groups.",Obstetrics and gynecology,"[""evaluate"", ""whether"", ""individual"", ""population"", ""level"", ""association"", ""chronic"", ""hypertension"", ""pregnancy"", ""complication"", ""assess"", ""difference"", ""across"", ""seven"", ""racial"", ""ethnic"", ""group""]",None,None,None,None
Racial Differences in Cancer Susceptibility and Survival: More Than the Color of the Skin?,"Epidemiological studies point to race as a determining factor in cancer susceptibility. In US registries recording cancer incidence and survival by race (distinguishing 'black versus white'), individuals of African ancestry have a globally increased risk of malignancies compared with Caucasians and Asian Americans. Differences in socioeconomic status and health-care access play a key role. However, the lesser disease susceptibility of Hispanic populations with comparable lifestyles and socioeconomic status as African Americans (Hispanic paradox) points to the concomitant importance of genetic determinants. Here, we overview the molecular basis of racial disparity in cancer susceptibility ranging from genetic polymorphisms and cancer-driver gene mutations to obesity, chronic inflammation, and immune responses. We discuss implications for race-adapted cancer screening programs and clinical trials to reduce disparities in cancer burden.",Trends in cancer,"[""epidemiological"", ""study"", ""point"", ""race"", ""determining"", ""factor"", ""cancer"", ""susceptibility"", ""we"", ""registry"", ""record"", ""cancer"", ""incidence"", ""survival"", ""race"", ""distinguish"", ""black"", ""versus"", ""white"", ""individual"", ""african"", ""ancestry"", ""globally"", ""increase"", ""risk"", ""malignancy"", ""compare"", ""caucasian"", ""asian"", ""american"", ""difference"", ""socioeconomic"", ""status"", ""health"", ""care"", ""access"", ""play"", ""key"", ""role"", ""however"", ""less"", ""disease"", ""susceptibility"", ""hispanic"", ""population"", ""comparable"", ""lifestyle"", ""socioeconomic"", ""status"", ""african"", ""american"", ""hispanic"", ""paradox"", ""point"", ""concomitant"", ""importance"", ""genetic"", ""determinant"", ""overview"", ""molecular"", ""basis"", ""racial"", ""disparity"", ""cancer"", ""susceptibility"", ""range"", ""genetic"", ""polymorphism"", ""cancer"", ""driver"", ""gene"", ""mutation"", ""obesity"", ""chronic"", ""inflammation"", ""immune"", ""response"", ""discuss"", ""implication"", ""race"", ""adapt"", ""cancer"", ""screening"", ""program"", ""clinical"", ""trial"", ""reduce"", ""disparity"", ""cancer"", ""burden""]",None,None,socioeconomic status,"Caucasian, Asian, Hispanic"
Racial/Ethnic Disparities in Mutual Help Group Participation for Substance Use Problems.,"Mutual help groups are a ubiquitous component of the substance abuse treatment system in the United States, showing demonstrated effectiveness as a treatment adjunct; so, it is paramount to understand whether they are as appealing to, and as effective for, racial or ethnic minority groups as they are for Whites. Nonetheless, no known comprehensive reviews have examined whether there are racial/ethnic disparities in mutual help group participation. Accordingly, this study comprehensively reviewed the U.S. literature on racial/ethnic disparities in mutual help participation among adults and adolescents with substance use disorder treatment need. The study identified 19 articles comparing mutual help participation across specific racial/ethnic minority groups and Whites, including eight national epidemiological studies and 11 treatment/community studies. Most compared Latinx and/or Black adults to White adults, and all but two analyzed 12-step participation, with others examining ""self-help"" attendance. Across studies, racial/ethnic comparisons yielded mostly null (<i>N</i> = 17) and mixed (<i>N</i> = 9) effects, though some findings were consistent with a racial/ethnic disparity (<i>N</i> = 6) or minority advantage (<i>N</i> = 3). Findings were weakly suggestive of disparities for Latinx populations (especially immigrants, women, and adolescents) as well as for Black women and adolescents. Overall, data were sparse, inconsistent, and dated, highlighting the need for additional studies in this area.",Alcohol research : current reviews,"[""mutual"", ""help"", ""group"", ""ubiquitous"", ""component"", ""substance"", ""abuse"", ""treatment"", ""system"", ""unite"", ""state"", ""show"", ""demonstrate"", ""effectiveness"", ""treatment"", ""adjunct"", ""paramount"", ""understand"", ""whether"", ""appeal"", ""effective"", ""racial"", ""ethnic"", ""minority"", ""group"", ""white"", ""nonetheless"", ""know"", ""comprehensive"", ""review"", ""examine"", ""whether"", ""racial"", ""ethnic"", ""disparity"", ""mutual"", ""help"", ""group"", ""participation"", ""accordingly"", ""comprehensively"", ""review"", ""u"", ""literature"", ""racial"", ""ethnic"", ""disparity"", ""mutual"", ""help"", ""participation"", ""among"", ""adult"", ""adolescent"", ""substance"", ""use"", ""disorder"", ""treatment"", ""need"", ""identify"", ""19"", ""article"", ""compare"", ""mutual"", ""help"", ""participation"", ""across"", ""specific"", ""racial"", ""ethnic"", ""minority"", ""group"", ""white"", ""include"", ""eight"", ""national"", ""epidemiological"", ""study"", ""11"", ""treatment"", ""community"", ""study"", ""compare"", ""latinx"", ""black"", ""adult"", ""white"", ""adult"", ""two"", ""analyze"", ""12"", ""step"", ""participation"", ""other"", ""examine"", ""self"", ""help"", ""attendance"", ""across"", ""study"", ""racial"", ""ethnic"", ""comparison"", ""yield"", ""mostly"", ""null"", ""n"", ""17"", ""mix"", ""n"", ""9"", ""effect"", ""though"", ""finding"", ""consistent"", ""racial"", ""ethnic"", ""disparity"", ""n"", ""6"", ""minority"", ""advantage"", ""n"", ""3"", ""finding"", ""weakly"", ""suggestive"", ""disparity"", ""latinx"", ""population"", ""especially"", ""immigrant"", ""woman"", ""adolescent"", ""well"", ""black"", ""woman"", ""adolescent"", ""overall"", ""datum"", ""sparse"", ""inconsistent"", ""date"", ""highlighting"", ""need"", ""additional"", ""study"", ""area""]",None,None,None,Black
"Race, Ethnicity, and Exposure to Alcohol Outlets.","Prior studies suggest that Black and Hispanic minority populations are exposed to greater concentrations of alcohol outlets, potentially contributing to health disparities between these populations and the White majority. We tested the alternative hypothesis that urban economic systems cause outlets to concentrate in low-income areas and, controlling for these effects, lower demand among minority populations leads to fewer outlets.",Journal of studies on alcohol and drugs,"[""prior"", ""study"", ""suggest"", ""black"", ""hispanic"", ""minority"", ""population"", ""expose"", ""great"", ""concentration"", ""alcohol"", ""outlet"", ""potentially"", ""contribute"", ""health"", ""disparity"", ""population"", ""white"", ""majority"", ""test"", ""alternative"", ""hypothesis"", ""urban"", ""economic"", ""system"", ""cause"", ""outlet"", ""concentrate"", ""low"", ""income"", ""area"", ""control"", ""effect"", ""low"", ""demand"", ""among"", ""minority"", ""population"", ""lead"", ""few"", ""outlet""]",None,None,None,"Black, Hispanic"
Diverse demands and resources among racially/ethnically diverse caregivers.,"The family caregiver population in the US is growing in conjunction with greater numbers of older adults with serious illness and complex care needs, and is becoming increasingly diverse. This study described and compared resources, demands, and health outcomes among diverse family caregivers by race/ethnicity.",Ethnicity & health,"[""family"", ""caregiver"", ""population"", ""we"", ""grow"", ""conjunction"", ""great"", ""number"", ""old"", ""adult"", ""serious"", ""illness"", ""complex"", ""care"", ""need"", ""become"", ""increasingly"", ""diverse"", ""describe"", ""compare"", ""resource"", ""demand"", ""health"", ""outcome"", ""among"", ""diverse"", ""family"", ""caregiver"", ""race"", ""ethnicity""]",None,None,None,None
Race/Ethnicity and Duration of Anesthesia for Pediatric Patients in the US: a Retrospective Cohort Study.,"Previous literature has demonstrated adverse patient outcomes associated with racial/ethnic disparities in health services. Because patients/parents and providers care about the duration of anesthesia, this study focuses on this outcome.",Journal of racial and ethnic health disparities,"[""previous"", ""literature"", ""demonstrate"", ""adverse"", ""patient"", ""outcome"", ""associate"", ""racial"", ""ethnic"", ""disparity"", ""health"", ""service"", ""patient"", ""parent"", ""provider"", ""care"", ""duration"", ""anesthesia"", ""focus"", ""outcome""]",None,None,None,None
