Title,Abstract,Journal
"The Economic Burden of Racial, Ethnic, and Educational Health Inequities in the US.","Health inequities exist for racial and ethnic minorities and persons with lower educational attainment due to differential exposure to economic, social, structural, and environmental health risks and limited access to health care.",JAMA
"Racial and Ethnic Disparities in Cancer Survival: The Contribution of Tumor, Sociodemographic, Institutional, and Neighborhood Characteristics.","Purpose Racial/ethnic disparities in cancer survival in the United States are well documented, but the underlying causes are not well understood. We quantified the contribution of tumor, treatment, hospital, sociodemographic, and neighborhood factors to racial/ethnic survival disparities in California. Materials and Methods California Cancer Registry data were used to estimate population-based cancer-specific survival for patients diagnosed with breast, prostate, colorectal, or lung cancer between 2000 and 2013 for each racial/ethnic group (non-Hispanic black, Hispanic, Asian American and Pacific Islander, and separately each for Chinese, Japanese, and Filipino) compared with non-Hispanic whites. The percentage contribution of factors to overall racial/ethnic survival disparities was estimated from a sequence of multivariable Cox proportional hazards models. Results In baseline models, black patients had the lowest survival for all cancer sites, and Asian American and Pacific Islander patients had the highest, compared with whites. Mediation analyses suggested that stage at diagnosis had the greatest influence on overall racial/ethnic survival disparities accounting for 24% of disparities in breast cancer, 24% in prostate cancer, and 16% to 30% in colorectal cancer. Neighborhood socioeconomic status was an important factor in all cancers, but only for black and Hispanic patients. The influence of marital status on racial/ethnic disparities was stronger in men than in women. Adjustment for all covariables explained approximately half of the overall survival disparities in breast, prostate, and colorectal cancer, but it explained only 15% to 40% of disparities in lung cancer. Conclusion Overall reductions in racial/ethnic survival disparities were driven largely by reductions for black compared with white patients. Stage at diagnosis had the largest effect on racial/ethnic survival disparities, but earlier detection would not entirely eliminate them. The influences of neighborhood socioeconomic status and marital status suggest that social determinants, support mechanisms, and access to health care are important contributing factors.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology
Update on Prevalence of Periodontitis in Adults in the United States: NHANES 2009 to 2012.,"This report describes prevalence, severity, and extent of periodontitis in the US adult population using combined data from the 2009 to 2010 and 2011 to 2012 cycles of the National Health and Nutrition Examination Survey (NHANES).",Journal of periodontology
Association of Socioeconomic Status With Life's Essential 8 Varies by Race and Ethnicity.,"Background The American Heart Association's Life's Essential 8 (LE8) are 8 risk factors for cardiovascular disease, with poor attainment across all racial, ethnic, and socioeconomic groups. Attainment is lowest among Americans of low socioeconomic status (SES). Evidence suggests the association of SES with LE8 may vary by race and ethnicity. Methods and Results The association of 4 SES categories (education, income-to-poverty line ratio, employment, insurance) with LE8 was computed in age-adjusted linear regression models, with an interaction term for race and ethnicity, using National Health and Nutrition Examination Survey data, years 2011 to 2018. The sample (n=13 529) had a median age of 48 years (51% female) with weighting to be representative of the US population. The magnitude of positive association of college education (relative to ≤high school) with LE8 was greater among non-Hispanic White Americans (NHWA) compared with non-Hispanic Black Americans, Hispanic Americans, and non-Hispanic Asian Americans (all interactions <i>P</i><0.001). NHWA had a greater magnitude of positive association of income-to-poverty line ratio with LE8, compared with non-Hispanic Black Americans, Hispanic Americans, and non-Hispanic Asian Americans (all interactions <i>P</i><0.001). NHWA with Medicaid compared with private insurance had a greater magnitude of negative association with LE8 compared with non-Hispanic Black Americans, non-Hispanic Asian Americans, or Hispanic Americans (all interactions <i>P</i><0.01). NHWA unemployed due to disability or health condition (compared with employed) had a greater magnitude of negative association with LE8 than non-Hispanic Black Americans, non-Hispanic Asian Americans, or Hispanic Americans (all interactions <i>P</i><0.05). Conclusions The magnitude of association of SES with LE8 is greatest among NHWA. More research is needed on SES's role in LE8 attainment in minority group populations.",Journal of the American Heart Association
Chronic Hypertension in Pregnancy and Racial-Ethnic Disparities in Complications.,"To evaluate whether there are individual- and population-level associations between chronic hypertension and pregnancy complications, and to assess differences across seven racial-ethnic groups.",Obstetrics and gynecology
Racial Differences in Cancer Susceptibility and Survival: More Than the Color of the Skin?,"Epidemiological studies point to race as a determining factor in cancer susceptibility. In US registries recording cancer incidence and survival by race (distinguishing 'black versus white'), individuals of African ancestry have a globally increased risk of malignancies compared with Caucasians and Asian Americans. Differences in socioeconomic status and health-care access play a key role. However, the lesser disease susceptibility of Hispanic populations with comparable lifestyles and socioeconomic status as African Americans (Hispanic paradox) points to the concomitant importance of genetic determinants. Here, we overview the molecular basis of racial disparity in cancer susceptibility ranging from genetic polymorphisms and cancer-driver gene mutations to obesity, chronic inflammation, and immune responses. We discuss implications for race-adapted cancer screening programs and clinical trials to reduce disparities in cancer burden.",Trends in cancer
Racial/Ethnic Disparities in Mutual Help Group Participation for Substance Use Problems.,"Mutual help groups are a ubiquitous component of the substance abuse treatment system in the United States, showing demonstrated effectiveness as a treatment adjunct; so, it is paramount to understand whether they are as appealing to, and as effective for, racial or ethnic minority groups as they are for Whites. Nonetheless, no known comprehensive reviews have examined whether there are racial/ethnic disparities in mutual help group participation. Accordingly, this study comprehensively reviewed the U.S. literature on racial/ethnic disparities in mutual help participation among adults and adolescents with substance use disorder treatment need. The study identified 19 articles comparing mutual help participation across specific racial/ethnic minority groups and Whites, including eight national epidemiological studies and 11 treatment/community studies. Most compared Latinx and/or Black adults to White adults, and all but two analyzed 12-step participation, with others examining ""self-help"" attendance. Across studies, racial/ethnic comparisons yielded mostly null (<i>N</i> = 17) and mixed (<i>N</i> = 9) effects, though some findings were consistent with a racial/ethnic disparity (<i>N</i> = 6) or minority advantage (<i>N</i> = 3). Findings were weakly suggestive of disparities for Latinx populations (especially immigrants, women, and adolescents) as well as for Black women and adolescents. Overall, data were sparse, inconsistent, and dated, highlighting the need for additional studies in this area.",Alcohol research : current reviews
"Race, Ethnicity, and Exposure to Alcohol Outlets.","Prior studies suggest that Black and Hispanic minority populations are exposed to greater concentrations of alcohol outlets, potentially contributing to health disparities between these populations and the White majority. We tested the alternative hypothesis that urban economic systems cause outlets to concentrate in low-income areas and, controlling for these effects, lower demand among minority populations leads to fewer outlets.",Journal of studies on alcohol and drugs
Diverse demands and resources among racially/ethnically diverse caregivers.,"The family caregiver population in the US is growing in conjunction with greater numbers of older adults with serious illness and complex care needs, and is becoming increasingly diverse. This study described and compared resources, demands, and health outcomes among diverse family caregivers by race/ethnicity.",Ethnicity & health
Race/Ethnicity and Duration of Anesthesia for Pediatric Patients in the US: a Retrospective Cohort Study.,"Previous literature has demonstrated adverse patient outcomes associated with racial/ethnic disparities in health services. Because patients/parents and providers care about the duration of anesthesia, this study focuses on this outcome.",Journal of racial and ethnic health disparities
Race/ethnicity and internalizing disorders in youth: a review.,"This review examines the impact of race/ethnicity and cultural differences in the presentation and prevalence rates of internalizing disorders in youth, as well as a variety of associated factors. There is robust support for higher prevalence rates of depression and anxiety in ethnic minority youth living in the United States. Gender differences are consistent across ethnicity, but symptom presentation, biological factors, and family processes vary somewhat by ethnic group. Environmental factors and acculturation are considered in relation to internalizing disorders in ethnic minority youth. Several problems with the literature are outlined. Several recommendations are made including better operationalization of internalizing disorders in the DSM and key issues that warrant being added to background text in the DSM. A research agenda is outlined to address possible mechanisms by which culture and race/ethnicity impact internalizing symptomatology.",Clinical psychology review
A window into racial and socioeconomic status disparities in preschool disciplinary action using developmental methodology.,"There are large differences in expulsions and suspensions on the basis of race starting in preschool and divergent explanations for their cause. The current study explores how developmental methodology can shed light on this vexing issue. We leverage two measures: (1) childcare provider complaints about children's behavior and their recommended disciplinary action (measured by parent report); and (2) observed disruptive behavior measured by a laboratory-based standardized observation tool, the Disruptive Behavior Diagnostic Observation Schedule (DB-DOS), among a large, sociodemographically diverse sample of children (n  <math xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>=</mi><annotation>$\text{=}$</annotation></semantics></math>  430; mean age  <math xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>=</mi><annotation>$\text{=}$</annotation></semantics></math>  4.79 years). We identified three latent class profiles on the basis of race/socioeconomic status (SES) and found disparities in childcare provider complaints based on profile membership. More specifically, children classified in the Black/Hispanic, poor and Black, nonpoor profiles both had significantly higher childcare provider complaints compared with children in the White/Hispanic, nonpoor profile. By contrast, there were no differences in observed disruptive behavior based on race/SES profiles. Finally, childcare provider complaints in preschool were associated with lower cognitive performance in elementary school, above and beyond observed disruptive behavior in preschool and race/SES profiles. Implications for classroom practice and contributions to the national debate on school disciplinary policies are discussed.",Annals of the New York Academy of Sciences
Race/Ethnicity and Health-Related Quality of Life Among LGBT Older Adults.,"Few existing studies have addressed racial/ethnic differences in the health and quality of life of lesbian, gay, bisexual, and transgender (LGBT) older adults. Guided by the Health Equity Promotion Model, this study examines health-promoting and health risk factors that contribute to racial/ethnic health disparities among LGBT adults aged 50 and older.",The Gerontologist
"Trends and disparities in osteoarthritis prevalence among US adults, 2005-2018.","Studies reporting trends and disparities of osteoarthritis (OA) in the United States are limited. We aimed to examine trends and disparities of OA prevalence among US adults, from 2005 to 2018. Continuous National Health and Nutrition Examination Survey (NHANES) data from 2005-2006 to 2017-2018 were analyzed. Age-adjusted and self-reported OA prevalence, stratified by race/ethnicity and socioeconomic status (SES), was calculated separately for men and women. The linear trend and the association between the survey cycles and OA prevalence were assessed. Age-adjusted and self-reported OA prevalence linearly increased in the seven survey cycles (both P<sub>linear trend</sub> ≤ 0.0002) in men and women. Non-Hispanic Caucasians (both P<sub>linear trend</sub> ≤ 0.0001) in both genders and Non-Hispanic African Americans women (P<sub>linear trend</sub> ≤ 0.0001) had significantly increasing linear trends in OA prevalence. In addition, people with lower SES had a lower age-adjusted prevalence of self-reported OA when compared to those with higher SES. The increasing linear trends still existed among both men and women after adjusting for multiple confounders (both P<sub>linear trend</sub> ≤ 0.002). There were significant rising trends and disparities in self-reported OA prevalence among US men and women between 2005 and 2018.",Scientific reports
"Race/ethnicity, nativity, and lifetime risk of mental disorders in US adults.","There has been no comprehensive examination of how race/ethnicity and nativity intersect in explaining differences in lifetime prevalence of mental disorders among Asian, Black, Latino, and White adults. This study aims to estimate racial/ethnic differences in lifetime risk of mental disorders and examine how group differences vary by nativity.",Social psychiatry and psychiatric epidemiology
Impact of sex and ethnicity on arrhythmic risk.,"Substantial differences in the risk of common arrhythmia syndromes exist between men and women, as well as in varying ethnic/racial groups. For example, despite an overall lower risk of sudden death and atrial fibrillation in women compared with men, women have longer QT intervals and a higher risk of torsades de pointes due to antiarrhythmic drugs and worse outcomes associated with atrial fibrillation. An ethnicity-related paradox in atrial fibrillation epidemiology is apparent; despite a higher prevalence of medical comorbidities such as hypertension, diabetes, and prolonged PR interval, blacks, Hispanics, and Asians have a lower risk of atrial fibrillation than whites. In this promising era of genomic medicine, an improved understanding of epidemiology and phenotype holds the potential for revealing novel therapeutic targets and preventing disease.",Current cardiology reports
Race/ethnicity and measurement equivalence of the Everyday Discrimination Scale.,"The present study examines the effect of race/ethnicity on measurement equivalence of the Everyday Discrimination Scale (EDS; Williams, Yu, Jackson, & Anderson, 1997). Drawn from the Collaborative Psychiatric Epidemiology Surveys (CPES; Alegría, Jackson, Kessler, & Takeuchi, 2008), adults aged 18 and older from four racial/ethnic groups were selected for analyses: 884 non-Hispanic Whites, 4,950 Blacks, 2,733 Hispanics/Latinos, and 2,089 Asians. Multiple-group confirmatory factor analyses were conducted. After adjusting for age and gender, the underlying construct of the EDS was invariant across four racial/ethnic groups, with Item 7 (""People act as if they're better than you are"") associated with lower intercepts for the Hispanic/Latino and Asian groups relative to the non-Hispanic White and Black groups. In terms of latent factor differences, Blacks tended to score higher on the latent construct compared to other racial/ethnic groups, whereas Asians tended to score lower on the latent construct compared to Whites and Hispanics/Latinos. Findings suggest that although the EDS in general assesses the underlying construct of perceived discrimination equivalently across diverse racial/ethnic groups, caution is needed when Item 7 is used among Hispanics/Latinos or Asians. Implications are discussed in cultural and methodological contexts.",Psychological assessment
Ethnoracial representation in hidradenitis suppurativa clinical trials.,"Hidradenitis suppurativa (HS) is an inflammatory skin disorder characterized by recurring painful and suppurating lesions, with the disease disproportionately affecting black populations in the United States. Ethnoracial representation in clinical trials is vital to ensuring results are generalizable. The purpose of this study is to examine whether ethnic or racial disparities exist in HS clinical trials.",Archives of dermatological research
When and How Do Students Benefit From Ethnic Diversity in Middle School?,"The effects of school-based ethnic diversity on student well-being and race-related views were examined during the first year in middle school. To capture the dynamic nature of ethnic exposure, diversity was assessed both at the school-level (n = 26) and based on academic course enrollments of African American, Asian, Latino, and White students (n = 4,302; M = 11.33 years). Across all four pan-ethnic groups, school-level ethnic diversity was associated with lower sense of vulnerability (i.e., feeling safer, less victimized, and less lonely) as well as perceptions of teachers' fair and equal treatment of ethnic groups and lower out-group distance. Underscoring the role of individual experiences, exposure to diversity in academic classes moderated the association between school-level diversity and the two aforementioned race-related views.",Child development
"Race Matters: Income Shares, Income Inequality, and Income Mobility for All U.S. Races.","Using unique linked data, we examine income inequality and mobility across racial and ethnic groups in the United States. Our data encompass the universe of income tax filers in the United States for the period 2000-2014, matched with individual-level race and ethnicity information from multiple censuses and American Community Survey data. We document both income inequality and mobility trends over the period. We find significant stratification in terms of average incomes by racial/ethnic group and distinct differences in within-group income inequality. The groups with the highest incomes-whites and Asians-also have the highest levels of within-group inequality and the lowest levels of within-group mobility. The reverse is true for the lowest-income groups: blacks, American Indians, and Hispanics have lower within-group inequality and immobility. On the other hand, low-income groups are also highly immobile in terms of overall, rather than within-group, mobility. These same groups also have a higher probability of experiencing downward mobility compared with whites and Asians. We also find that within-group income inequality increased for all groups between 2000 and 2014, and the increase was especially large for whites. The picture that emerges from our analysis is of a rigid income structure, with mainly whites and Asians positioned at the top and blacks, American Indians, and Hispanics confined to the bottom.",Demography
"Race, disability, and grade: Social relationships in children with autism spectrum disorders.","Race is associated with social relationships among typically developing children; however, studies rarely examine the impact of race on social outcomes for children with autism spectrum disorder. This study examined how race (African American, Latino, Asian, or White) in conjunction with disability status (autism spectrum disorders or typically developing) and grade (grades K-2 or 3-5) affects friendships and social networks. The sample comprises 85 children with autism spectrum disorders and 85 typically developing controls matched on race, gender, age/grade, and classroom (wherever possible). Race, disability, and grade each had an independent effect on friendship nominations, and there was an interaction among the three variables. Specifically, children with autism spectrum disorders who were African American or Latino in the upper elementary grades received fewer friendship nominations than typically developing White children in the lower elementary grades. Only the presence of autism spectrum disorders was associated with social network centrality. Our results also suggested that Latino children with autism spectrum disorders in the upper elementary grades were at the highest risk of social isolation. Implications for re-conceptualizing social skills interventions are discussed.",Autism : the international journal of research and practice
Persistent disparities in affordable rental housing among America's ethnoracial groups.,"Housing and residential outcomes in the United States are significantly stratified by ethnoracial group, but the extent to which disparities exist in affordable renting over time is less clear. In this study, I explore affordable housing disparities among White, Black, Hispanic, and Asian renters and test hypotheses regarding variation by education, local ethnoracial composition, and chosen measurement of affordability. Chiefly, I find that White households have higher rates of affordable housing than Black and Hispanic households with disparities remaining nearly identical between 2005 and 2019 and become larger when considering household's ability to afford other basic needs. Nevertheless, returns to education are not uniformly larger for White renters, in that Black and Asian renters experience larger marginal increases in residual income based affordable housing at higher levels of education. The effects of county ethnoracial composition effects are consistent with all groups-including White households-experiencing declining affordability when living in counties with large coethnic populations.",Social science research
Defining Social Class Across Time and Between Groups.,"We examined changes over four decades and between ethnic groups in how people define their social class. Changes included the increasing importance of income, decreasing importance of occupational prestige, and the demise of the ""Victorian bargain,"" in which poor people who subscribed to conservative sexual and religious norms could think of themselves as middle class. The period also saw changes (among Whites) and continuity (among Black Americans) in subjective status perceptions. For Whites (and particularly poor Whites), their perceptions of enhanced social class were greatly reduced. Poor Whites now view their social class as slightly but significantly lower than their poor Black and Latino counterparts. For Black respondents, a caste-like understanding of social class persisted, as they continued to view their class standing as relatively independent of their achieved education, income, and occupation. Such achievement indicators, however, predicted Black respondents' self-esteem more than they predicted self-esteem for any other group.",Personality & social psychology bulletin
Depression in Racial and Ethnic Minorities: the Impact of Nativity and Discrimination.,"This research examines factors associated with lifetime major depressive disorder in racial and ethnic minorities residing in the USA, with an emphasis on the impact of nativity, discrimination, and health lifestyle behaviors. The Healthy Migrant Effect and Health Lifestyle Theory were used to inform the design of this project. The use of these frameworks not only provides insightful results but also expands their application in mental health disparities research. Logistic regression models were implemented to examine risk factors associated with lifetime major depressive disorder, comparing immigrants to their American-born counterparts as well as to American-born Whites. Data were derived from the Collaborative Psychiatric Epidemiology Surveys (n = 17,249). Support was found for the hypothesis that certain immigrants, specifically Asian and Afro-Caribbean, have lower odds of depression as compared their non-immigrant counterparts. Although, Hispanic immigrants directionally had lower odds of depression, this finding was not statistically significant. Furthermore, engaging in excessive alcohol consumption was associated with higher rates of depression (odds ratio (OR) = 2.09, p < 0.001), and the effect of discrimination on depression was found to be significant, even when controlling for demographics. Of all racial and ethnic groups, foreign-born Afro-Caribbeans had the lowest rate of depression at 7 % followed by foreign-born Asians at 8 %.",Journal of racial and ethnic health disparities
The Impacts of Residential Segregation on Obesity.,"This study examined the association between residential segregation and obesity for Whites, African Americans, Hispanics, and Asians. This study considered 3 dimensions of residential segregation, isolation, dissimilarity, and concentration.",Journal of physical activity & health
Racial/Ethnic Disparities in Genomic Sequencing.,"Although poorly understood, there is heterogeneity in the molecular biology of cancer across race and ethnicities. The representation of racial minorities in large genomic sequencing efforts is unclear, and could have an impact on health care disparities.",JAMA oncology
Accuracy of patient race and ethnicity data in a central cancer registry.,Race and Hispanic ethnicity data can be challenging for central cancer registries to collect. We evaluated the accuracy of the race and Hispanic ethnicity variables collected by the Utah Cancer Registry compared to self-report.,Cancer causes & control : CCC
Race as a predictor of job satisfaction and turnover in US nurses.,The purpose of this analysis is to determine US minority nurses' job satisfaction and turnover using three outcome variables: job dissatisfaction; change of jobs; and intent to quit.,Journal of nursing management
Methamphetamine Overdose Deaths in the US by Sex and Race and Ethnicity.,This cross-sectional study examines the extent to which methamphetamine overdose deaths vary by sex and race and ethnicity in the US.,JAMA psychiatry
